id   Class               title               status              description         
2    , Task                , er2                 , NEW                 , er2                 ;

8    , Task                , Задача 1            , NEW                 , Описание задачи 1   ;

9    , Task                , Задача 2            , NEW                 , Описание задачи 2   ;

3    , Epic                , er3                 , NEW                 , er3                 ;

4    , Epic                , er4                 , NEW                 , er4                 ;

5    , Epic                , er5                 , NEW                 , er5                 ;

6    , Epic                , er6                 , NEW                 , er6                 ;

10   , Epic                , Эпик 1              , NEW                 , Описание эпика 1    ;

14   , Epic                , Эпик 2              , NEW                 , Описание эпика 2    ;

7    , Subtask             , er7                 , NEW                 , er7                 , 3 ;

11   , Subtask             , Подзадача 1         , NEW                 , Описание подзадачи 1, 3 ;

12   , Subtask             , Подзадача 2         , NEW                 , Описание подзадачи 2, 3 ;

13   , Subtask             , Подзадача 3         , NEW                 , Описание подзадачи 3, 3 ;

